광역지자체,자치구,연월,주기,지표명,값,단위
강원,,2019-01,반기(구합산),비경제활동인구 (천명),479.1,
강원,,2019-01,반기(구합산),실업자 (천명),23.2,
강원,,2019-01,반기(구합산),취업자 (천명),800.1,
강원,,2019-07,반기(구합산),15세이상인구 (천명),1303.6,
강원,,2019-07,반기(구합산),경제활동인구 (천명),823.2,
강원,,2019-07,반기(구합산),비경제활동인구 (천명),480.6,
강원,,2019-07,반기(구합산),실업자 (천명),17.8,
강원,,2019-07,반기(구합산),취업자 (천명),805.5,
강원,,2020-01,반기(구합산),15세이상인구 (천명),1306.2,
강원,,2020-01,반기(구합산),경제활동인구 (천명),804.6,
강원,,2020-01,반기(구합산),비경제활동인구 (천명),501.3,
강원,,2020-01,반기(구합산),실업자 (천명),22.9,
강원,,2020-01,반기(구합산),취업자 (천명),782.0,
강원,,2020-07,반기(구합산),15세이상인구 (천명),1308.5,
강원,,2020-07,반기(구합산),경제활동인구 (천명),825.8,
강원,,2020-07,반기(구합산),비경제활동인구 (천명),482.4,
강원,,2020-07,반기(구합산),실업자 (천명),22.9,
강원,,2020-07,반기(구합산),취업자 (천명),803.0,
강원,,2021-01,반기(구합산),15세이상인구 (천명),1315.3,
강원,,2021-01,반기(구합산),경제활동인구 (천명),827.6,
강원,,2021-01,반기(구합산),비경제활동인구 (천명),487.6,
강원,,2021-01,반기(구합산),실업자 (천명),20.2,
강원,,2021-01,반기(구합산),취업자 (천명),807.4,
강원,,2021-07,반기(구합산),15세이상인구 (천명),1319.9,
강원,,2021-07,반기(구합산),경제활동인구 (천명),846.2,
강원,,2021-07,반기(구합산),비경제활동인구 (천명),473.3,
강원,,2021-07,반기(구합산),실업자 (천명),19.4,
강원,,2021-07,반기(구합산),취업자 (천명),826.9,
강원,,2022-01,반기(구합산),15세이상인구 (천명),1320.0,
강원,,2022-01,반기(구합산),경제활동인구 (천명),846.1,
강원,,2022-01,반기(구합산),비경제활동인구 (천명),474.0,
강원,,2022-01,반기(구합산),실업자 (천명),17.6,
강원,,2022-01,반기(구합산),취업자 (천명),828.3,
강원,,2022-07,반기(구합산),15세이상인구 (천명),1326.2,
강원,,2022-07,반기(구합산),경제활동인구 (천명),846.0,
강원,,2022-07,반기(구합산),비경제활동인구 (천명),479.8,
강원,,2022-07,반기(구합산),실업자 (천명),19.2,
강원,,2022-07,반기(구합산),취업자 (천명),826.9,
강원,,2023-01,반기(구합산),15세이상인구 (천명),1326.5,
