광역지자체,자치구,연월,인허가(호),착공(호),준공(호)
서울,,2025-11,3012,2816,7933
서울,,2025-12,1800,9379,2864
서울,,2026-01,675,312,3504
서울,,2026-02,2183,2602,1246
서울,,2026-03,1005,525,1207
서울,,2026-04,6238,1125,3320
서울,,2026-05,5297,2051,1413
서울,,2026-06,979,2806,1561
서울,,2026-07,7103,5574,5352
부산,,2007-01,409,,
부산,,2007-02,1044,,
부산,,2007-03,2029,,
부산,,2007-04,284,,
부산,,2007-05,758,,
부산,,2007-06,5,,
부산,,2007-07,9301,,
부산,,2007-08,6612,,
부산,,2007-09,5034,,
부산,,2007-10,6020,,
부산,,2007-11,4574,,
부산,,2007-12,3767,,
부산,,2008-01,588,,
부산,,2008-02,599,,
부산,,2008-03,1042,,
부산,,2008-04,668,,
부산,,2008-05,2218,,
부산,,2008-06,272,,
부산,,2008-07,0,,
부산,,2008-08,0,,
부산,,2008-09,0,,
부산,,2008-10,0,,
부산,,2008-11,2008,,
부산,,2008-12,5039,,
부산,,2009-01,0,,
부산,,2009-02,0,,
부산,,2009-03,67,,
부산,,2009-04,299,,
부산,,2009-05,0,,
부산,,2009-06,474,,
부산,,2009-07,0,,
부산,,2009-08,25,,
부산,,2009-09,727,,
부산,,2009-10,0,,
부산,,2009-11,1447,,
부산,,2009-12,749,,
부산,,2010-01,248,,
부산,,2010-02,14,,
부산,,2010-03,105,,
부산,,2010-04,74,,
부산,,2010-05,0,,
부산,,2010-06,264,,
부산,,2010-07,297,,
부산,,2010-08,0,,0
부산,,2010-09,1256,,28
부산,,2010-10,204,,14
부산,,2010-11,88,,489
부산,,2010-12,9479,,1595
부산,,2011-01,61,1309,1741
부산,,2011-02,298,1062,502
부산,,2011-03,3561,945,684
부산,,2011-04,2515,4065,72
부산,,2011-05,560,1146,0
부산,,2011-06,753,3302,2431
부산,,2011-07,457,373,364
부산,,2011-08,1087,275,98
부산,,2011-09,238,1143,1980
부산,,2011-10,4666,687,43
부산,,2011-11,1256,4362,4518
부산,,2011-12,4951,6920,1188
부산,,2012-01,1086,465,0
부산,,2012-02,399,1288,605
부산,,2012-03,2905,1280,974
부산,,2012-04,4622,1496,189
부산,,2012-05,1265,1406,1548
부산,,2012-06,1762,919,7552
부산,,2012-07,806,190,1348
부산,,2012-08,3934,2595,336
부산,,2012-09,3687,1456,1115
부산,,2012-10,426,2262,514
부산,,2012-11,1042,3804,1467
부산,,2012-12,5186,2693,2484
부산,,2013-01,679,322,230
부산,,2013-02,1655,416,1799
부산,,2013-03,566,955,2967
부산,,2013-04,223,581,730
부산,,2013-05,2989,270,694
부산,,2013-06,2557,1049,6113
부산,,2013-07,872,1524,569
부산,,2013-08,863,1734,4086
부산,,2013-09,494,389,625
부산,,2013-10,733,934,887
부산,,2013-11,1006,2753,917
부산,,2013-12,7808,2534,2875
부산,,2014-01,628,2056,269
부산,,2014-02,374,3368,893
부산,,2014-03,1414,2423,794
부산,,2014-04,820,1021,837
부산,,2014-05,2326,300,3739
부산,,2014-06,2661,1796,851
부산,,2014-07,1921,582,2177
부산,,2014-08,295,959,3595
부산,,2014-09,942,1566,749
부산,,2014-10,516,3961,1233
부산,,2014-11,400,5532,4478
부산,,2014-12,998,2773,2782
부산,,2015-01,1895,976,1431
부산,,2015-02,916,507,168
부산,,2015-03,780,3365,1913
부산,,2015-04,753,1670,477
부산,,2015-05,2531,1218,306
부산,,2015-06,1357,6269,4042
부산,,2015-07,5283,3449,640
부산,,2015-08,1805,2173,344
부산,,2015-09,2611,1392,424
부산,,2015-10,1355,1484,4745
부산,,2015-11,6855,1953,935
부산,,2015-12,3676,1434,2942
부산,,2016-01,3237,1476,859
부산,,2016-02,3273,1403,428
부산,,2016-03,714,4431,269
부산,,2016-04,2346,3247,719
부산,,2016-05,2974,2647,454
부산,,2016-06,5868,2543,1452
부산,,2016-07,3136,447,600
부산,,2016-08,1457,3295,2206
부산,,2016-09,334,152,3000
부산,,2016-10,1325,1686,685
부산,,2016-11,377,3991,1535
부산,,2016-12,6368,4135,1772
부산,,2017-01,2812,2137,2502
부산,,2017-02,1180,1129,489
부산,,2017-03,3914,982,1540
부산,,2017-04,2430,1415,2973
부산,,2017-05,7596,770,3338
부산,,2017-06,4384,1571,1581
부산,,2017-07,4941,2653,2438
부산,,2017-08,5007,5403,1554
부산,,2017-09,3867,6245,2982
부산,,2017-10,1863,5013,1220
부산,,2017-11,2280,4232,826
부산,,2017-12,5056,1500,1202
부산,,2018-01,2912,595,2115
부산,,2018-02,1617,280,5393
부산,,2018-03,2484,1850,1854
부산,,2018-04,1463,2015,2447
부산,,2018-05,1871,3264,1853
부산,,2018-06,4711,3608,1764
부산,,2018-07,10612,4936,2516
부산,,2018-08,1466,2450,113
부산,,2018-09,1186,9295,683
부산,,2018-10,963,1876,4819
부산,,2018-11,837,118,1366
부산,,2018-12,1022,3506,1157
부산,,2019-01,1999,1054,1234
부산,,2019-02,1447,265,2599
부산,,2019-03,353,606,2379
부산,,2019-04,1594,852,2144
부산,,2019-05,779,4406,3035
부산,,2019-06,912,2798,1996
